weight_svm,weight_bert,threshold,pr_auc,roc_auc,fraud_precision,fraud_recall,fraud_f1,confusion_matrix
0.1,0.9,0.08,0.8603398115448326,0.9581255572801427,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.15000000000000002,0.85,0.09999999999999999,0.8599738852870242,0.9570522770053829,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.15000000000000002,0.85,0.11,0.8599738852870242,0.9570522770053829,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.15000000000000002,0.85,0.12,0.8599738852870242,0.9570522770053829,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.15000000000000002,0.85,0.13,0.8599738852870242,0.9570522770053829,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.55,0.44999999999999996,0.26,0.8598671880629305,0.9538241801789902,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.55,0.44999999999999996,0.27,0.8598671880629305,0.9538241801789902,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.55,0.44999999999999996,0.28,0.8598671880629305,0.9538241801789902,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.55,0.44999999999999996,0.29000000000000004,0.8598671880629305,0.9538241801789902,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.55,0.44999999999999996,0.3,0.8598671880629305,0.9538241801789902,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.55,0.44999999999999996,0.31,0.8598671880629305,0.9538241801789902,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.55,0.44999999999999996,0.32,0.8598671880629305,0.9538241801789902,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.30000000000000004,0.7,0.18000000000000002,0.8598437290324139,0.9553391565668241,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.35000000000000003,0.6499999999999999,0.17,0.8596133878392408,0.9549635084706581,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.35000000000000003,0.6499999999999999,0.18000000000000002,0.8596133878392408,0.9549635084706581,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.35000000000000003,0.6499999999999999,0.19,0.8596133878392408,0.9549635084706581,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.35000000000000003,0.6499999999999999,0.2,0.8596133878392408,0.9549635084706581,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.2,0.8,0.13,0.8595928812339823,0.9563133648162213,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.2,0.8,0.14,0.8595928812339823,0.9563133648162213,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.2,0.8,0.15000000000000002,0.8595928812339823,0.9563133648162213,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.2,0.8,0.16,0.8595928812339823,0.9563133648162213,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.2,0.8,0.17,0.8595928812339823,0.9563133648162213,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.4,0.6,0.19,0.85954274625519,0.9545961163766058,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.4,0.6,0.2,0.85954274625519,0.9545961163766058,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.4,0.6,0.21000000000000002,0.85954274625519,0.9545961163766058,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.4,0.6,0.22,0.85954274625519,0.9545961163766058,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.4,0.6,0.23,0.85954274625519,0.9545961163766058,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.25,0.75,0.16,0.8594854262863598,0.9558221326904659,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.25,0.75,0.17,0.8594854262863598,0.9558221326904659,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.25,0.75,0.18000000000000002,0.8594854262863598,0.9558221326904659,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.45,0.55,0.22,0.8594477149525209,0.9542452362867804,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.45,0.55,0.23,0.8594477149525209,0.9542452362867804,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.45,0.55,0.24000000000000002,0.8594477149525209,0.9542452362867804,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.45,0.55,0.25,0.8594477149525209,0.9542452362867804,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.45,0.55,0.26,0.8594477149525209,0.9542452362867804,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.5,0.5,0.24000000000000002,0.859380558481482,0.9539769162180904,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.5,0.5,0.25,0.859380558481482,0.9539769162180904,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.5,0.5,0.26,0.859380558481482,0.9539769162180904,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.5,0.5,0.27,0.859380558481482,0.9539769162180904,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.5,0.5,0.28,0.859380558481482,0.9539769162180904,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.5,0.5,0.29000000000000004,0.859380558481482,0.9539769162180904,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.6000000000000001,0.3999999999999999,0.29000000000000004,0.8589864822289692,0.9536012681219246,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.6000000000000001,0.3999999999999999,0.3,0.8589864822289692,0.9536012681219246,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.6000000000000001,0.3999999999999999,0.31,0.8589864822289692,0.9536012681219246,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.6000000000000001,0.3999999999999999,0.32,0.8589864822289692,0.9536012681219246,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.6000000000000001,0.3999999999999999,0.33,0.8589864822289692,0.9536012681219246,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.6000000000000001,0.3999999999999999,0.34,0.8589864822289692,0.9536012681219246,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.6000000000000001,0.3999999999999999,0.35000000000000003,0.8589864822289692,0.9536012681219246,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.65,0.35,0.31,0.8582107819992105,0.9533948680690862,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.8,0.19999999999999996,0.28,0.8564835184215155,0.9529490439549552,0.8252427184466019,0.794392523364486,0.8095238095238095,"{'tn': 2246, 'fp': 18, 'fn': 22, 'tp': 85}"
0.55,0.44999999999999996,0.21000000000000002,0.8598671880629305,0.9538241801789902,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.55,0.44999999999999996,0.22,0.8598671880629305,0.9538241801789902,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.2,0.8,0.09,0.8595928812339823,0.9563133648162213,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.4,0.6,0.16,0.85954274625519,0.9545961163766058,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.25,0.75,0.11,0.8594854262863598,0.9558221326904659,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.45,0.55,0.18000000000000002,0.8594477149525209,0.9542452362867804,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.5,0.5,0.2,0.859380558481482,0.9539769162180904,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.6000000000000001,0.3999999999999999,0.23,0.8589864822289692,0.9536012681219246,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.6000000000000001,0.3999999999999999,0.24000000000000002,0.8589864822289692,0.9536012681219246,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.7000000000000001,0.29999999999999993,0.27,0.8589267224230894,0.9533164360490075,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.65,0.35,0.25,0.8582107819992105,0.9533948680690862,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.65,0.35,0.26,0.8582107819992105,0.9533948680690862,0.8055555555555556,0.8130841121495327,0.8093023255813954,"{'tn': 2243, 'fp': 21, 'fn': 20, 'tp': 87}"
0.55,0.44999999999999996,0.77,0.8598671880629305,0.9538241801789902,0.9736842105263158,0.6915887850467289,0.8087431693989071,"{'tn': 2262, 'fp': 2, 'fn': 33, 'tp': 74}"
0.55,0.44999999999999996,0.78,0.8598671880629305,0.9538241801789902,0.9736842105263158,0.6915887850467289,0.8087431693989071,"{'tn': 2262, 'fp': 2, 'fn': 33, 'tp': 74}"
0.30000000000000004,0.7,0.87,0.8598437290324139,0.9553391565668241,0.9736842105263158,0.6915887850467289,0.8087431693989071,"{'tn': 2262, 'fp': 2, 'fn': 33, 'tp': 74}"
0.35000000000000003,0.6499999999999999,0.85,0.8596133878392408,0.9549635084706581,0.9736842105263158,0.6915887850467289,0.8087431693989071,"{'tn': 2262, 'fp': 2, 'fn': 33, 'tp': 74}"
0.4,0.6,0.8300000000000001,0.85954274625519,0.9545961163766058,0.9736842105263158,0.6915887850467289,0.8087431693989071,"{'tn': 2262, 'fp': 2, 'fn': 33, 'tp': 74}"
0.5,0.5,0.79,0.859380558481482,0.9539769162180904,0.9736842105263158,0.6915887850467289,0.8087431693989071,"{'tn': 2262, 'fp': 2, 'fn': 33, 'tp': 74}"
0.5,0.5,0.8,0.859380558481482,0.9539769162180904,0.9736842105263158,0.6915887850467289,0.8087431693989071,"{'tn': 2262, 'fp': 2, 'fn': 33, 'tp': 74}"
0.6000000000000001,0.3999999999999999,0.75,0.8589864822289692,0.9536012681219246,0.9736842105263158,0.6915887850467289,0.8087431693989071,"{'tn': 2262, 'fp': 2, 'fn': 33, 'tp': 74}"
0.6000000000000001,0.3999999999999999,0.76,0.8589864822289692,0.9536012681219246,0.9736842105263158,0.6915887850467289,0.8087431693989071,"{'tn': 2262, 'fp': 2, 'fn': 33, 'tp': 74}"
